Generation 145: Best Cost 27, Current Cost 92
Generation 146: Best Cost 27, Current Cost 71
Generation 147: Best Cost 27, Current Cost 86
Generation 148: Best Cost 27, Current Cost 87
Generation 149: Best Cost 27, Current Cost 79
Generation 150: Best Cost 27, Current Cost 79
Generation 151: Best Cost 27, Current Cost 90
Generation 152: Best Cost 27, Current Cost 73
Generation 153: Best Cost 27, Current Cost 62
Generation 154: Best Cost 27, Current Cost 65
Generation 155: Best Cost 27, Current Cost 82
Generation 156: Best Cost 27, Current Cost 99
Generation 157: Best Cost 27, Current Cost 75
Generation 158: Best Cost 27, Current Cost 96
Generation 159: Best Cost 27, Current Cost 78
Generation 160: Best Cost 27, Current Cost 92
Generation 161: Best Cost 27, Current Cost 72
Generation 162: Best Cost 27, Current Cost 81
Generation 163: Best Cost 27, Current Cost 77
Generation 164: Best Cost 27, Current Cost 89
Generation 165: Best Cost 27, Current Cost 89
Generation 166: Best Cost 27, Current Cost 65
Generation 167: Best Cost 27, Current Cost 76
Generation 168: Best Cost 27, Current Cost 103
Generation 169: Best Cost 27, Current Cost 89
Generation 170: Best Cost 27, Current Cost 84
Generation 171: Best Cost 27, Current Cost 97
Generation 172: Best Cost 27, Current Cost 86
Generation 173: Best Cost 27, Current Cost 98
Generation 174: Best Cost 27, Current Cost 75
Generation 175: Best Cost 27, Current Cost 77
Generation 176: Best Cost 27, Current Cost 98
Generation 177: Best Cost 27, Current Cost 71
Generation 178: Best Cost 27, Current Cost 95
Generation 179: Best Cost 27, Current Cost 97
Generation 180: Best Cost 27, Current Cost 92
Generation 181: Best Cost 27, Current Cost 83
Generation 182: Best Cost 27, Current Cost 80
Generation 183: Best Cost 27, Current Cost 60
Generation 184: Best Cost 27, Current Cost 79
Generation 185: Best Cost 27, Current Cost 78
Generation 186: Best Cost 27, Current Cost 71
Generation 187: Best Cost 27, Current Cost 72
Generation 188: Best Cost 27, Current Cost 87
Generation 189: Best Cost 27, Current Cost 94
Generation 190: Best Cost 27, Current Cost 71
Generation 191: Best Cost 27, Current Cost 70
Generation 192: Best Cost 27, Current Cost 92
Generation 193: Best Cost 27, Current Cost 47
Generation 194: Best Cost 27, Current Cost 82
Generation 195: Best Cost 27, Current Cost 73
Generation 196: Best Cost 27, Current Cost 83
Generation 197: Best Cost 27, Current Cost 93
Generation 198: Best Cost 27, Current Cost 89
Generation 199: Best Cost 27, Current Cost 77
